Timestamp,Score,เพศ,อายุ  ,ท่านกำลังศึกษาอยู่ในระดับ,จังหวัดที่ท่านกำลังอาศัยอยู่ในปัจจุบัน,ปกติท่านเล่นมือถือ / คอมพิวเตอร์ เฉลี่ยต่อวันเท่าไร,ท่านดู Youtube เฉลี่ยต่อวันเท่าไร,ท่านชอบคอนเทนต์แนวไหนมากที่สุด,ท่านเคยรับชมคอนเทนต์ที่มีสปอนเซอร์ หรือ รับชม Ads แล้วไปซื้อหรือไม่,ท่านสมัครสมาชิก Youtube Premium หรือไม่,ท่านชอบดู Youtube Shorts หรือไม่,ท่านมีความคิดเห็นกับการการยิง Ads ของ Youtube,ท่านมีความพึงพอใจต่อการดู Youtube มากน้อยเพียงใด,ท่านมีความพึงพอใจต่อการดู Youtube Shorts มากน้อยเพียงใด,ท่านมีความพึงพอใจต่อการใช้งาน Youtube Premium มากน้อยเพียงใด,ท่านมีความพึงพอใจต่อการรับชมคอนเทนต์ใน Youtube มากน้อยเพียงใด,ท่านมีความพึงพอใจต่อกับสิ่งที่ได้รับจากแอพพลิเคชัน Youtube ในภาพรวม มากน้อยเพียงใด
8/22/2023 6:06:23,0,ชาย,10 - 20 ปี,ปริญญาตรี,ลพบุรี,มากกว่า 12 ชั่วโมง,มากกว่า 12 ชั่วโมง,เพลง,ไม่เคย,ไม่สมัคร,ชอบดู,Ads มีความถี่เกินไป,5,2,1,3,3
8/22/2023 8:10:31,0,ชาย,10 - 20 ปี,ปริญญาตรี,กระบี่,มากกว่า 12 ชั่วโมง,9 - 12 ชั่วโมง,เพลง,เคย,ไม่สมัคร,ชอบดู,เหมาะสม,5,4,5,5,3
8/22/2023 8:33:20,0,หญิง,20 - 30 ปี,ปริญญาตรี,กรุงเทพมหานคร,6 - 9 ชั่วโมง,3 - 6 ชั่วโมง,เพลง,ไม่เคย,ไม่สมัคร,ชอบดู,เหมาะสม,4,4,5,3,4
8/22/2023 9:43:17,0,ชาย,20 - 30 ปี,ปริญญาตรี,กาฬสินธุ์,6 - 9 ชั่วโมง,น้อยกว่า 3 ชั่วโมง,เล่าเรื่องผี,ไม่เคย,สมัคร,ชอบดู,Ads มีความถี่เกินไป,5,3,5,5,5
8/22/2023 9:43:51,0,หญิง,20 - 30 ปี,ปริญญาตรี,หนองคาย,6 - 9 ชั่วโมง,น้อยกว่า 3 ชั่วโมง,เกม,ไม่เคย,สมัคร,ไม่ชอบดู,Ads มีความถี่เกินไป,5,3,5,3,5
8/22/2023 9:51:18,0,หญิง,20 - 30 ปี,ปริญญาตรี,กรุงเทพมหานคร,3 - 6 ชั่วโมง,น้อยกว่า 3 ชั่วโมง,ทานอาหาร / ทำอาหาร,เคย,ไม่สมัคร,ไม่ชอบดู,Ads มีความถี่เกินไป,3,2,1,4,4
8/23/2023 10:24:11,0,ชาย,20 - 30 ปี,ปริญญาตรี,นครพนม,6 - 9 ชั่วโมง,3 - 6 ชั่วโมง,เกม,ไม่เคย,สมัคร,ไม่ชอบดู,โฆษณาไม่เหมาะกับกลุ่มเป้าหมายที่ได้รับโฆษณา,4,4,4,3,4
8/23/2023 12:46:19,0,หญิง,20 - 30 ปี,ปริญญาตรี,นครราชสีมา,มากกว่า 12 ชั่วโมง,3 - 6 ชั่วโมง,เพลง,เคย,สมัคร,ไม่ชอบดู,Ads มีความถี่เกินไป,5,2,5,5,5
8/23/2023 15:01:50,0,หญิง,20 - 30 ปี,ปริญญาตรี,กรุงเทพมหานคร,9 - 12 ชั่วโมง,3 - 6 ชั่วโมง,เพลง,เคย,สมัคร,ชอบดู,Ads มีความถี่เกินไป,5,3,5,5,5
8/23/2023 18:44:46,0,ชาย,20 - 30 ปี,ปริญญาตรี,สมุทรปราการ,3 - 6 ชั่วโมง,3 - 6 ชั่วโมง,บอร์ดเกม,เคย,ไม่สมัคร,ชอบดู,Ads มีความถี่เกินไป,5,5,1,5,5
